passer_player_id,passer_player_name,week,passing_yards,passing_tds,interceptions,pass_attempts,rusher_player_id,rushing_yards,rushing_tds,fumbles_lost,fantasy_points,recent_team,opponent_team,def_qb_fp_allowed_roll5,qb_fp_roll5,league_qb_fp_allowed,proj_baseline,proj_adj,def_delta,proj_shrunk_02
00-0022942,P.Rivers,15,120.0,1.0,1.0,28.0,00-0022942,0.0,0.0,0.0,6.8,IND,SEA,9.454000091552734,,16.586876,,,-7.13287582397461,
00-0022942,P.Rivers,16,277.0,2.0,1.0,37.0,,0.0,0.0,0.0,17.08,IND,SF,15.464000225067139,6.800000190734863,13.793646,6.800000190734863,8.470354557037354,1.6703543663024902,7.1340710639953615
00-0023459,A.Rodgers,1,244.0,4.0,0.0,34.0,00-0023459,-1.0,0.0,0.0,25.66,PIT,NYJ,16.28249979019165,6.800000190734863,17.265,6.800000190734863,5.817500591278076,-0.9824995994567871,6.603500270843506
00-0023459,A.Rodgers,2,203.0,1.0,2.0,37.0,00-0023459,3.0,0.0,0.0,8.42,PIT,SEA,17.695000648498535,16.230000019073486,16.66625,16.230000019073486,17.258750438690186,1.0287504196166992,16.435750102996828
00-0023459,A.Rodgers,3,139.0,2.0,1.0,23.0,00-0023459,1.0,0.0,0.0,11.66,PIT,NE,12.015000000596046,13.626666704813639,13.318125,13.626666704813639,12.323541934291521,-1.3031247705221176,13.366041750709215
00-0023459,A.Rodgers,4,200.0,1.0,0.0,24.0,00-0023459,8.0,0.0,0.0,12.8,PIT,MIN,12.352500081062317,13.134999990463257,15.64,13.134999990463257,9.84749972820282,-3.287500262260437,12.477499938011169
00-0023459,A.Rodgers,6,235.0,2.0,0.0,30.0,00-0023459,1.0,0.0,0.0,17.5,PIT,CLE,13.793999862670898,14.634999990463257,15.825,14.634999990463257,12.604000043869018,-2.030999946594239,14.228800001144409
00-0023459,A.Rodgers,7,249.0,4.0,2.0,34.0,00-0023459,6.0,0.0,0.0,22.56,PIT,CIN,17.50999984741211,15.207999992370606,15.190001,15.207999992370606,17.5279993057251,2.3199993133544936,15.671999855041506
00-0023459,A.Rodgers,8,219.0,2.0,0.0,40.0,,0.0,0.0,0.0,16.76,PIT,GB,18.172000408172607,14.58799991607666,15.449999,14.58799991607666,17.31000146865845,2.722001552581787,15.132400226593017
00-0023459,A.Rodgers,9,203.0,1.0,0.0,38.0,00-0023459,0.0,0.0,0.0,12.12,PIT,IND,18.935999488830568,16.255999946594237,17.785,16.255999946594237,17.406999588012695,1.1509996414184585,16.48619987487793
00-0023459,A.Rodgers,10,161.0,1.0,2.0,34.0,,0.0,0.0,0.0,6.4400005,PIT,LAC,10.211999988555908,16.34799995422363,14.004286,16.34799995422363,12.55571413040161,-3.792285823822022,15.589542789459227
00-0023459,A.Rodgers,11,116.0,1.0,0.0,16.0,00-0023459,8.0,0.0,0.0,9.44,PIT,CIN,18.063999557495116,15.076000022888184,13.483999,15.076000022888184,19.656000328063964,4.58000030517578,15.99200008392334
